,Año,País,Jornada,Equipo local,Equipo visitante,Últimos partidos local,Últimos partidos visitante,Puntos totales local,Puntos totales visitante,PG local,PG visitante,PE local,PE visitante,PP local,PP visitante,Goles a favor local,Goles a favor visitante,Goles en contra local,Goles en contra visitante,Porterías a cero local,Porterías a cero visitante,Total tiros local,Total tiros visitante,Posesión equipo local,Posesión equipo visitante,Disparos equipo local,Disparos equipo visitante,Disparos a puerta equipo local,Disparos a puerta equipo visitante,Tarjetas amarillas equipo local,Tarjetas amarillas equipo visitante,Tarjetas rojas equipo local,Tarjetas rojas equipo visitante,Faltas equipo local,Faltas equipo visitante,Córners equipo local,Córners equipo visitante,Paradas equipo local,Paradas equipo visitante,Resultado,Clustering local,Clustering visitante
2353,2015,IT,8,Hellas Verona,Udinese,EEDDE,DDDVE,4.0,7.0,0.0,2.0,4.0,1.0,3.0,4.0,6.0,7.0,10.0,10.0,0.0,1.0,68.0,80.0,0.47,0.53,8,15,2,5,2,2,0,0,14,11,8,8,4,1,1,,
2354,2015,IT,8,Frosinone,Sampdoria,DDEVD,VDVDE,4.0,11.0,1.0,3.0,1.0,2.0,5.0,2.0,4.0,13.0,10.0,10.0,1.0,1.0,96.0,73.0,0.38,0.62,14,19,4,2,2,4,0,0,11,16,8,12,2,2,0,,
2355,2015,IT,8,Napoli,Fiorentina,EVEVV,VVVVV,12.0,18.0,3.0,6.0,3.0,0.0,1.0,1.0,16.0,14.0,7.0,4.0,3.0,5.0,123.0,99.0,0.47,0.53,13,10,6,3,3,4,0,0,11,18,4,5,2,4,0,,
2356,2015,IT,8,Genoa,Chievo,DDDVE,EDVEE,7.0,12.0,2.0,3.0,1.0,3.0,4.0,1.0,4.0,11.0,7.0,5.0,2.0,2.0,90.0,81.0,0.45,0.55,12,21,6,3,4,2,1,0,14,17,7,7,2,3,0,,
2357,2015,IT,8,Atalanta,Carpi,EEVVD,EDEDV,11.0,5.0,3.0,1.0,2.0,2.0,2.0,4.0,8.0,8.0,8.0,16.0,2.0,1.0,90.0,87.0,0.59,0.41,15,13,7,5,1,3,0,0,16,13,8,7,5,4,0,,
2358,2015,IT,8,Sassuolo,Lazio,EEVED,VDVVV,12.0,15.0,3.0,5.0,3.0,0.0,1.0,2.0,9.0,10.0,7.0,11.0,2.0,3.0,78.0,109.0,0.43,0.58,16,12,4,3,1,5,0,1,7,21,3,9,2,2,0,,
2359,2015,IT,8,Inter,Juventus,VVVDE,EVEDV,16.0,8.0,5.0,2.0,1.0,2.0,1.0,3.0,8.0,9.0,6.0,8.0,4.0,1.0,102.0,137.0,0.46,0.54,8,15,2,4,3,5,0,0,14,14,4,9,4,2,1,,
2360,2015,IT,9,Empoli,Genoa,VDDVD,DDVEV,7.0,10.0,2.0,3.0,1.0,1.0,5.0,4.0,8.0,7.0,14.0,9.0,1.0,2.0,114.0,102.0,0.48,0.52,15,14,5,3,3,3,0,0,11,25,3,8,3,3,0,,
2361,2015,IT,9,Carpi,Bologna,DEDVD,VDDDD,5.0,3.0,1.0,1.0,2.0,0.0,5.0,7.0,8.0,4.0,19.0,13.0,1.0,1.0,100.0,69.0,0.4,0.6,8,14,2,4,4,2,1,0,16,9,3,8,2,1,2,,
2362,2015,IT,9,Palermo,Inter,DDDDV,VVDEE,10.0,17.0,3.0,5.0,1.0,2.0,4.0,1.0,10.0,8.0,12.0,6.0,3.0,5.0,93.0,110.0,0.44,0.56,10,19,2,7,3,3,0,1,11,11,3,10,6,1,1,,
